subject,fold,train_runs,val_run,test_run,val_auc,test_auc
32,1,0 3,2,1,0.833224,0.843726
32,2,0 1,3,2,0.764018,0.827215
32,3,1 2,0,3,0.837805,0.789907
33,0,2 3,1,0,0.938204,0.938794
33,1,0 3,2,1,0.914977,0.930351
33,2,0 1,3,2,0.928762,0.915796
33,3,1 2,0,3,0.932580,0.898998
34,0,2 3,1,0,0.788485,0.782789
34,1,0 3,2,1,0.826873,0.814127
34,2,0 1,3,2,0.827492,0.819982
34,3,1 2,0,3,0.819134,0.832184
35,0,2 3,1,0,0.925435,0.922848
35,1,0 3,2,1,0.906982,0.934125
35,2,0 1,3,2,0.899032,0.882680
35,3,1 2,0,3,0.921050,0.908955
36,0,2 3,1,0,0.851893,0.843871
36,1,0 3,2,1,0.839315,0.840408
36,2,0 1,3,2,0.861832,0.845352
36,3,1 2,0,3,0.861327,0.855957
37,0,2 3,1,0,0.894336,0.868032
37,1,0 3,2,1,0.873830,0.884807
37,2,0 1,3,2,0.856642,0.888902
37,3,1 2,0,3,0.874066,0.863467
38,0,2 3,1,0,0.934039,0.945100
38,1,0 3,2,1,0.936580,0.925195
38,2,0 1,3,2,0.938467,0.929871
38,3,1 2,0,3,0.947456,0.930905
39,0,2 3,1,0,0.812075,0.765263
39,1,0 3,2,1,0.804159,0.818948
39,2,0 1,3,2,0.811122,0.785270
39,3,1 2,0,3,0.781222,0.840843
40,0,2 3,1,0,0.794660,0.829014
40,1,0 3,2,1,0.803644,0.815136
40,2,0 1,3,2,0.805503,0.773859
40,3,1 2,0,3,0.831322,0.782290
41,0,2 3,1,0,0.773304,0.792710
41,1,0 3,2,1,0.792805,0.764626
41,2,0 1,3,2,0.750474,0.760054
41,3,1 2,0,3,0.791712,0.786984
42,0,2 3,1,0,0.765819,0.800204
42,1,0 3,2,1,0.788748,0.776571
42,2,0 1,3,2,0.769878,0.761587
42,3,1 2,0,3,0.818132,0.760841
43,0,2 3,1,0,0.862519,0.862519
43,1,0 3,2,1,0.862340,0.860481
43,2,0 1,3,2,0.818696,0.866667
43,3,1 2,0,3,0.883315,0.821331
44,0,2 3,1,0,0.740943,0.728576
44,1,0 3,2,1,0.712295,0.753651
44,2,0 1,3,2,0.741859,0.744154
44,3,1 2,0,3,0.721177,0.713764
45,0,2 3,1,0,0.692116,0.706306
45,1,0 3,2,1,0.682955,0.693145
45,2,0 1,3,2,0.709438,0.654875
45,3,1 2,0,3,0.695358,0.667202
46,0,2 3,1,0,0.865515,0.808635
46,1,0 3,2,1,0.858011,0.847814
46,2,0 1,3,2,0.855379,0.880077
46,3,1 2,0,3,0.829070,0.860211
47,0,2 3,1,0,0.923794,0.890798
47,1,0 3,2,1,0.939537,0.928581
47,2,0 1,3,2,0.910837,0.916195
